"","year","month","unemployment_rate","num_crimes","cases","num_evictions","police_budget"
"1",2020,3,6.7,16088,9820,1986,1.73
"2",2020,4,16.9,15513,40136,526,1.73
"3",2020,5,18.9,16643,54187,278,1.73
"4",2020,6,17.8,17236,99499,319,1.73
"5",2020,7,18.6,17262,143094,366,1.73
"6",2020,8,17,16924,76107,383,1.73
"7",2020,9,11.4,15936,49597,376,1.73
"8",2020,10,10.4,16421,67275,966,1.73
"9",2020,11,10.4,15566,206890,1034,1.73
"10",2020,12,10.8,15736,700664,997,1.73
"11",2021,1,11,16399,544816,863,1.86
"12",2021,2,10.5,15656,92031,882,1.86
"13",2021,3,10.4,16556,29681,1025,1.86
"14",2021,4,10.3,16269,23981,1039,1.86
"15",2021,5,9.5,17011,12461,823,1.86
"16",2021,6,10,17382,14121,922,1.86
"17",2021,7,9.5,18960,101199,912,1.86
"18",2021,8,9,18496,165124,1046,1.86
"19",2021,9,7.8,18481,84162,1059,1.86
"20",2021,10,7.2,19189,56725,978,1.86
"21",2021,11,6.4,18665,58539,1516,1.86
"22",2021,12,6,17942,365325,1582,1.86
"23",2022,1,6.5,18557,1660313,1475,1.76
"24",2022,2,5.8,17916,155145,1408,1.76
"25",2022,3,5.2,20016,35948,1968,1.76
"26",2022,4,4.8,19957,73447,2032,1.76
"27",2022,5,4.6,20784,188889,2936,1.76
"28",2022,6,4.9,20414,252103,3391,1.76
"29",2022,7,4.9,19920,314188,3310,1.76
"30",2022,8,4.8,20591,172949,3906,1.76
"31",2022,9,4.4,19510,74776,3438,1.76
"32",2022,10,4.6,20254,48388,3698,1.76
"33",2022,11,4.6,18929,107913,3419,1.76
"34",2022,12,4.4,20251,145456,3414,1.76
"35",2023,1,5,20253,62928,3217,1.88
"36",2023,2,5.1,18911,51193,3125,1.88
"37",2023,3,4.8,19520,30848,4053,1.88
"38",2023,4,4.4,19156,19412,3852,1.88
"39",2023,5,4.7,19555,15537,4303,1.88
"40",2023,6,5.1,19045,12729,4480,1.88
"41",2023,7,5.3,20152,16421,4018,1.88
"42",2023,8,5.6,20347,37867,4565,1.88
