"","year","LAT_rounded","LON_rounded","HomicideCount"
"1",2018,33.73,-118.28,2
"2",2018,33.74,-118.29,2
"3",2018,33.74,-118.28,1
"4",2018,33.75,-118.29,1
"5",2018,33.77,-118.26,1
"6",2018,33.78,-118.27,3
"7",2018,33.78,-118.26,1
"8",2018,33.79,-118.27,2
"9",2018,33.8,-118.26,1
"10",2018,33.82,-118.3,1
"11",2018,33.84,-118.3,1
"12",2018,33.87,-118.29,1
"13",2018,33.88,-118.29,1
"14",2018,33.89,-118.29,1
"15",2018,33.92,-118.28,1
"16",2018,33.93,-118.28,2
"17",2018,33.93,-118.27,2
"18",2018,33.93,-118.25,1
"19",2018,33.94,-118.29,1
"20",2018,33.94,-118.28,3
"21",2018,33.94,-118.27,3
"22",2018,33.94,-118.25,1
"23",2018,33.95,-118.37,1
"24",2018,33.95,-118.31,1
"25",2018,33.95,-118.29,1
"26",2018,33.95,-118.28,2
"27",2018,33.95,-118.27,3
"28",2018,33.95,-118.26,1
"29",2018,33.95,-118.25,2
"30",2018,33.96,-118.44,1
"31",2018,33.96,-118.38,2
"32",2018,33.96,-118.32,2
"33",2018,33.96,-118.3,2
"34",2018,33.96,-118.29,3
"35",2018,33.96,-118.28,6
"36",2018,33.96,-118.26,4
"37",2018,33.97,-118.32,2
"38",2018,33.97,-118.31,1
"39",2018,33.97,-118.3,1
"40",2018,33.97,-118.29,3
"41",2018,33.97,-118.28,1
"42",2018,33.97,-118.27,1
"43",2018,33.98,-118.33,2
"44",2018,33.98,-118.32,1
"45",2018,33.98,-118.31,1
"46",2018,33.98,-118.29,4
"47",2018,33.98,-118.28,3
"48",2018,33.98,-118.27,2
"49",2018,33.99,-118.34,2
"50",2018,33.99,-118.33,1
"51",2018,33.99,-118.32,1
"52",2018,33.99,-118.31,2
"53",2018,33.99,-118.3,1
"54",2018,33.99,-118.28,2
"55",2018,33.99,-118.26,1
"56",2018,33.99,-118.25,1
"57",2018,34,-118.32,2
"58",2018,34,-118.29,2
"59",2018,34,-118.28,1
"60",2018,34,-118.27,3
"61",2018,34,-118.26,3
"62",2018,34.01,-118.36,1
"63",2018,34.01,-118.33,4
"64",2018,34.01,-118.31,2
"65",2018,34.01,-118.3,1
"66",2018,34.01,-118.29,2
"67",2018,34.01,-118.28,1
"68",2018,34.01,-118.27,2
"69",2018,34.01,-118.26,4
"70",2018,34.01,-118.25,1
"71",2018,34.01,-118.24,1
"72",2018,34.02,-118.35,2
"73",2018,34.02,-118.34,2
"74",2018,34.02,-118.3,1
"75",2018,34.02,-118.27,1
"76",2018,34.02,-118.26,2
"77",2018,34.03,-118.36,2
"78",2018,34.03,-118.35,1
"79",2018,34.03,-118.34,1
"80",2018,34.03,-118.33,1
"81",2018,34.03,-118.31,1
"82",2018,34.03,-118.28,2
"83",2018,34.03,-118.21,1
"84",2018,34.03,-118.2,1
"85",2018,34.04,-118.53,1
"86",2018,34.04,-118.36,1
"87",2018,34.04,-118.34,3
"88",2018,34.04,-118.32,1
"89",2018,34.04,-118.31,1
"90",2018,34.04,-118.29,1
"91",2018,34.04,-118.28,1
"92",2018,34.04,-118.27,2
"93",2018,34.04,-118.26,1
"94",2018,34.04,-118.25,4
"95",2018,34.04,-118.21,1
"96",2018,34.05,-118.32,1
"97",2018,34.05,-118.28,1
"98",2018,34.05,-118.27,2
"99",2018,34.05,-118.26,3
"100",2018,34.05,-118.25,3
"101",2018,34.05,-118.22,1
"102",2018,34.05,-118.2,1
"103",2018,34.06,-118.42,1
"104",2018,34.06,-118.31,1
"105",2018,34.06,-118.29,1
"106",2018,34.06,-118.28,1
"107",2018,34.06,-118.27,2
"108",2018,34.06,-118.26,3
"109",2018,34.06,-118.25,1
"110",2018,34.06,-118.21,1
"111",2018,34.07,-118.31,1
"112",2018,34.07,-118.29,1
"113",2018,34.07,-118.27,1
"114",2018,34.07,-118.23,1
"115",2018,34.07,-118.21,1
"116",2018,34.08,-118.3,1
"117",2018,34.08,-118.29,1
"118",2018,34.08,-118.27,1
"119",2018,34.08,-118.24,1
"120",2018,34.08,-118.22,1
"121",2018,34.08,-118.21,1
"122",2018,34.08,-118.16,1
"123",2018,34.09,-118.31,1
"124",2018,34.09,-118.18,1
"125",2018,34.09,-118.17,1
"126",2018,34.1,-118.36,1
"127",2018,34.1,-118.34,1
"128",2018,34.1,-118.33,2
"129",2018,34.1,-118.32,2
"130",2018,34.1,-118.26,1
"131",2018,34.1,-118.2,1
"132",2018,34.11,-118.33,1
"133",2018,34.11,-118.2,1
"134",2018,34.12,-118.26,2
"135",2018,34.13,-118.27,1
"136",2018,34.13,-118.26,1
"137",2018,34.15,-118.36,2
"138",2018,34.16,-118.63,1
"139",2018,34.16,-118.51,1
"140",2018,34.16,-118.38,1
"141",2018,34.17,-118.52,1
"142",2018,34.18,-118.43,2
"143",2018,34.18,-118.4,1
"144",2018,34.18,-118.38,1
"145",2018,34.19,-118.43,2
"146",2018,34.19,-118.37,1
"147",2018,34.19,-118.36,1
"148",2018,34.2,-118.59,1
"149",2018,34.2,-118.45,1
"150",2018,34.2,-118.4,1
"151",2018,34.2,-118.37,1
"152",2018,34.21,-118.55,1
"153",2018,34.21,-118.52,1
"154",2018,34.21,-118.5,1
"155",2018,34.22,-118.53,1
"156",2018,34.22,-118.42,1
"157",2018,34.23,-118.61,1
"158",2018,34.23,-118.46,1
"159",2018,34.23,-118.45,1
"160",2018,34.23,-118.3,1
"161",2018,34.24,-118.47,1
"162",2018,34.25,-118.42,1
"163",2018,34.25,-118.41,1
"164",2018,34.26,-118.44,1
"165",2018,34.26,-118.32,1
"166",2018,34.27,-118.42,1
"167",2018,34.28,-118.46,1
"168",2018,34.28,-118.43,1
"169",2018,34.28,-118.4,2
"170",2018,34.29,-118.46,1
"171",2018,34.29,-118.45,1
"172",2018,34.3,-118.45,1
"173",2018,34.31,-118.45,1
"174",2018,34.31,-118.44,2
"175",2018,34.32,-118.41,1
"176",2019,33.73,-118.3,1
"177",2019,33.73,-118.28,1
"178",2019,33.74,-118.29,1
"179",2019,33.74,-118.28,3
"180",2019,33.78,-118.27,4
"181",2019,33.78,-118.25,1
"182",2019,33.79,-118.3,1
"183",2019,33.79,-118.29,2
"184",2019,33.79,-118.25,1
"185",2019,33.8,-118.3,1
"186",2019,33.83,-118.3,1
"187",2019,33.86,-118.3,1
"188",2019,33.93,-118.29,1
"189",2019,33.93,-118.27,2
"190",2019,33.93,-118.26,1
"191",2019,33.93,-118.25,3
"192",2019,33.93,-118.24,1
"193",2019,33.94,-118.29,1
"194",2019,33.94,-118.28,3
"195",2019,33.94,-118.27,3
"196",2019,33.94,-118.26,1
"197",2019,33.94,-118.25,2
"198",2019,33.94,-118.24,4
"199",2019,33.95,-118.32,2
"200",2019,33.95,-118.31,2
"201",2019,33.95,-118.29,1
"202",2019,33.95,-118.28,1
"203",2019,33.95,-118.27,2
"204",2019,33.96,-118.39,1
"205",2019,33.96,-118.31,4
"206",2019,33.96,-118.28,4
"207",2019,33.96,-118.26,2
"208",2019,33.97,-118.46,1
"209",2019,33.97,-118.31,2
"210",2019,33.97,-118.3,1
"211",2019,33.97,-118.29,1
"212",2019,33.97,-118.28,6
"213",2019,33.97,-118.27,2
"214",2019,33.97,-118.26,1
"215",2019,33.98,-118.33,4
"216",2019,33.98,-118.31,1
"217",2019,33.98,-118.3,2
"218",2019,33.98,-118.29,2
"219",2019,33.98,-118.28,3
"220",2019,33.98,-118.27,1
"221",2019,33.99,-118.47,1
"222",2019,33.99,-118.33,2
"223",2019,33.99,-118.32,1
"224",2019,33.99,-118.3,1
"225",2019,33.99,-118.28,1
"226",2019,33.99,-118.26,2
"227",2019,34,-118.48,1
"228",2019,34,-118.47,1
"229",2019,34,-118.3,1
"230",2019,34,-118.28,1
"231",2019,34,-118.27,1
"232",2019,34,-118.26,1
"233",2019,34,-118.25,1
"234",2019,34.01,-118.35,1
"235",2019,34.01,-118.33,1
"236",2019,34.01,-118.32,1
"237",2019,34.01,-118.31,1
"238",2019,34.01,-118.29,4
"239",2019,34.01,-118.27,2
"240",2019,34.01,-118.26,2
"241",2019,34.01,-118.24,1
"242",2019,34.02,-118.35,1
"243",2019,34.02,-118.31,1
"244",2019,34.02,-118.28,1
"245",2019,34.02,-118.27,1
"246",2019,34.02,-118.26,2
"247",2019,34.02,-118.24,2
"248",2019,34.02,-118.22,1
"249",2019,34.02,-118.21,1
"250",2019,34.02,-118.19,1
"251",2019,34.03,-118.3,2
"252",2019,34.03,-118.27,2
"253",2019,34.03,-118.26,1
"254",2019,34.03,-118.24,1
"255",2019,34.03,-118.23,1
"256",2019,34.03,-118.22,1
"257",2019,34.04,-118.31,1
"258",2019,34.04,-118.3,1
"259",2019,34.04,-118.27,1
"260",2019,34.04,-118.26,2
"261",2019,34.04,-118.25,5
"262",2019,34.04,-118.24,3
"263",2019,34.04,-118.22,1
"264",2019,34.04,-118.21,2
